“AAA知らない発言”の泉ピン子、『アッコにおまかせ！』出まくりの理由は......？,21日放送の『アッコにおまかせ！』（TBS系）で、女性への暴行事件で逮捕されたAAAの浦田直也の話題が大きく取り上げられ、出演者の泉ピ...
「なつぞら」吉沢亮&山田裕貴の仲良し映像！撮影裏側に歓喜の声続出,"（左から）吉沢亮、山田裕貴

　NHK連続テレビ小説「なつぞら」に出演中の俳優・山田裕貴が、吉沢亮との撮影の裏側を捉えた映像を24日に..."
トランプ銃やバラの花も付属『名探偵コナン』怪盗キッドのfigmaが再販決定,"TVアニメ『名探偵コナン』より怪盗キッドのfigmaが再販されることが決定した。発売は2020年12月予定で、価格は6,296円(税抜..."
事件はまだ終わっていなかった...『名探偵コナン』真犯人figmaが再登場,TVアニメ『名探偵コナン』より「figma 犯人」がパワーアップして「figma 真・犯人」として再登場。発売は2020年2月予定、価...
テレ東 平成の終わりから令和の幕開けは池上特番3時間「改元ライブ」,テレビ東京は平成最後から令和にかけて4月30日午後10時から5月1日午前1時までの3時間、ジャーナリストの池上彰氏（68）がMCを務め...
KID FRESINO、ISSUGIや5lackら多数ゲスト迎えた最新アルバムをアナログ化,KID FRESINOの最新アルバム「ai qing」が5月8日にアナログ盤でリリースされる。KID FRESINO「ai qing」...
ZOZO前澤社長、ツイッター再開 早速、「記念に100万円ください」などの反応相次ぐ,今年2月7日を最後に、本業集中を理由にツイッターを休止していたZOZOの前澤友作社長が25日、自身のツイッターを77日ぶりに更新。ネッ...
松田優作さんの長女・松田ゆう姫、兄・龍平&翔太との激しい兄妹げんか明らかに,【松田ゆう姫／モデルプレス＝4月25日】故・松田優作さんの長女で、俳優の松田龍平、松田翔太を兄にもつミュージシャンの松田ゆう姫が26日...
ヒカキン、愛猫に「また悪さするんかぁー！」 その実態に癒やされる人続出,ユーチューバーのヒカキン（HIKAKIN）が24日に自身のツイッターを更新。愛猫のもふこが「また悪さ」をしでかしたと明かしたのだが、そ...
出川哲朗、おみくじの結果に泣きそうに...「しゅる剣」にも挑戦『出川哲朗の充電させてもらえませんか？』,"出川哲朗、おみくじの結果に泣きそうに…「しゅる剣」にも挑戦『出川哲朗の充電させてもらえませんか？』
千秋が、4月27日放送の『出川哲朗..."
最初の15分を見逃すな！ついに完結『アベンジャーズ／エンドゲーム』レビュー【ネタバレ無し】,"ついにシリーズの完結を迎える『アベンジャーズ／エンドゲーム』（2019年4月26日（金）公開）。
11年前のアイアンマンから始まり、2..."
弘中綾香アナ“協調性”の無さを反省 『オードリーのANN』初出演で,テレビ朝日の弘中綾香アナウンサーが、インスタグラムでお笑いコンビ・オードリーとのスリーショットを公開している。20日深夜のラジオ番組『...
中村仁美 第3子も男児で「人生で一番のモテ期」,タレントのつるの剛士(43)、フリーアナウンサーの中村仁美(39)、医師でタレントの友利新(41)らが25日、都内で行われた通販サイト...
第3回「全国エンタメまつり」開催決定！インディーズコーナー出展者も募集中,第3回「全国エンタメまつり」開催決定！インディーズコーナー出展者も募集中もっと画像を見る全国エンタメまつり実行委員会は、2019年8月...
D、会場限定5アルバムより未発表曲「開眼 」の試聴スタート,"Dが、4月29日から5月5日にかけて開催するゴールデンウィーク7日間連続ワンマン『Vampire story ""7 Days forc..."
桑田真澄氏の次男Matt 半年間テレビ出演を断っていた,野球評論家・桑田真澄氏（51）の次男でブライダルモデルのMatt（24）が25日、自身のインスタグラムを更新。約半年間テレビ出演を全て...
Ayasa、7月1日にミニアルバム2ヶ月連続配信,5弦ヴァイオリニストのAyasaが7月1日に7枚目のミニアルバム「CHRONICLE VII」を全世界配信する。6月1日配信予定の6枚...
エンケン、初メイドカフェで...,俳優の遠藤憲一(58)と元TBSアナウンサーの宇垣美里(28)が25日、東京・千代田区のUDXシアターで行われた大人向けコレクターズ商...
キーボードでライブ再現も『BanG Dream!』ポピパ市ヶ谷有咲がねんどろいど化,"TVアニメ『BanG Dream!』より市ヶ谷有咲がねんどろいど化される。2019年10月発売予定、価格は4,167円(税抜)。

市..."
竜穿射も再現『ファイアーエムブレムif』カムイ(女)のねんどろいどが再販決定,シミュレーションロールプレイングゲーム『ファイアーエムブレムif』より主人公のカムイ(女)のねんどろいどの再販が決定した。発売日は20...
【インタビュー】『バースデー・ワンダーランド』杏「チィは『実写でも演じられるのでは？』と思うぐらい、自分に近い印象を受けました」,『映画クレヨンしんちゃん　嵐を呼ぶモーレツ！オトナ帝国の逆襲』（01）をはじめ、大人から子どもまで楽しめる作品を送り出してきた原恵一監...
木嶋佳苗死刑囚と獄中結婚！ 「週刊新潮」デスクX氏に幹部は激怒、「出世コース外れた」の声も,2009年に世間を震撼させた“婚活連続不審死事件”で逮捕され、2017年5月に死刑判決が確定した木嶋佳苗死刑囚が、昨年「週刊新潮」（新...
落語家の芝居「はなしか団地」復活 仁鶴の孫弟子・大智「報告したい」,"「はなしか団地」に出演した（左アラ）笑福亭大智、月亭遊真、月亭秀都、桂小留、桂文五郎＝京都・よしもと祇園花月

　落語家の桂小留（ちろ..."
金子賢 深夜に鍵紛失して野宿...体重減り「野宿は体力使うんやな」,"金子賢

　俳優の金子賢が２５日、未明にブログに「鍵無くして部屋入れない」と投稿した。　夜中に屋外で憮然とした様子の写真をアップし「ど..."
航空戦艦ならではのシーン再現も『艦これ』伊勢改二がねんどろいど化,ブラウザゲーム『艦隊これくしょん -艦これ-』より伊勢型戦艦1番艦のif改装を経た航空戦艦「伊勢改二」がねんどろいど化される。2019...
『ソードアート・オンライン』キリトが上級修剣士の姿でフィギュア化,TVアニメ『ソードアート・オンライン アリシゼーション』より主人公のキリトが上級修剣士の姿でフィギュア化される。2019年11月発売予...
『バンドリ』ハロー、ハッピーワールド！の弦巻こころがねんどろいど化,リズム＆アドベンチャーゲーム『バンドリ！ ガールズバンドパーティ！(ガルパ)』より弦巻こころがねんどろいど化される。2019年10月発...
武田真治、驚がくの食生活「ササミとブロッコリーしか食べてないと...」,"俳優、武田真治（４６）が２４日放送の日本テレビ系「今夜くらべてみました」（水曜後９・０）に出演。驚がくの食生活を明かした。
　昨年の紅..."
矢野未希子、スムージー作り実演に緊張 しゅんしゅんクリニックPがフォローも「スベりました」,"（左から）矢野未希子、しゅんしゅんクリニックP （C）ORICON NewS inc.

　モデルの矢野未希子が25日、都内で行われた..."
『Kick-Flight』ロックバンド「KANA-BOON」の新作「FLYERS」をイメージソングに採用！,『Kick-Flight』ロックバンド「KANA-BOON」の新作「FLYERS」をイメージソングに採用！もっと画像を見るグレンジはス...
青薔薇の剣も付属『ソードアート・オンライン』ユージオがねんどろいど化,TVアニメ『ソードアート・オンライン アリシゼーション』より、キリトの相棒「ユージオ」がねんどろいどで発売される。2019年10月発売...
長渕剛、20年ぶり主演映画「太陽の家」に手応え十分「いいなあって、涙が」,シンガーソングライターの長渕剛が20年ぶりに主演する映画「太陽の家」のキャスト発表会見が4月25日、都内で行われた。神技的技量を持つ大...
堀ちえみ 義母に感謝、退院翌日に電話「2時間近く」話し込む,"堀ちえみ

　舌がんに続き、食道がんの手術を１６日に受けたタレント・堀ちえみ（５２）が退院から一夜明けた２５日、ブログを更新。義母と２..."
アニメ放送20周年「ワンピース」 フィギュア当たる「一番くじ」,バンダイグループのBANDAI SPIRITS（バンダイスピリッツ、東京都港区）は、「ワンピース」が題材でハズレなしの「一番くじ ワン...
菊地美香、平成終わりのタイミングで退社,昨年10月、「特捜戦隊デカレンジャー」などで共演した元俳優の吉田友一さん(36)と結婚して話題になった女優・菊地美香(35)が25日、...
「アベンジャーズ エンドゲーム」。世界興行収入歴代2位の「タイタニック」を遂に超える？,映画はコケた、大ヒット、など、経済的な視点からも面白いコンテンツが少なくない。そこで「映画の経済的な意味を考えるコラム」を書く。それが...
